"inscription_UK","arkID","insc_order","carrying_part","inscr_text"
"1","22918/002190775","1","Back","LIPPMANN 94/278/9079"
"2","22918/002190785","1","Back","LIPPMANN 90/278/9089"
"3","22918/002191645","1","Sides","Lippmann 90/278/9986"
"4","22918/002191645","2","Sides","A Mont Cervin Fontainebleau"
"5","22918/002190780","1","Back","Farben Lippmann's Verfahren von Dr. R. Neuhauss Berlin W[exposant souligné]62 1899."
"6","22918/002190780","2","Sides","Neuhauss 90/278/009084"
"7","15053/000000001","1","Sides","dépôt 07.07.88 n°3"
"8","22918/002190780","1","Sides","A Clarens"
"9","22918/002190780","2","Sides","Lippmann 91/278/9955"
