"inscription_UK","arkID","insc_order","carrying_part","inscr_text"
"1","12345/001543457","1","Back","LIPPMANN 94/278/9079"
"2","12345/002386745","1","Back","LIPPMANN 90/278/9089"
"3","12345/009358693","1","Sides","Lippmann 90/278/9986"
"4","12345/009358693","2","Sides","A Mont Cervin Fontainebleau"
"5","12345/005347698","1","Back","Farben Lippmann's Verfahren von Dr. R. Neuhauss Berlin W[exposant souligné]62 1899."
"6","12345/005347698","2","Sides","Neuhauss 90/278/009084"
"7","15053/000000001","1","Sides","dépôt 07.07.88 n°3"
"8","12345/001267886","1","Sides","A Clarens"
"9","12345/001267886","2","Sides","Lippmann 91/278/9955"
