"inscription_UK","arkID","descr_textuelle","sujetsMotsClefs","thesaurusTerm","orientation_descr","orientation_typeAAT"
"1","12345/002386976","Venise X","Vue urbaine","300000873","paysage","300311843"
"1","12345/002386976","Venise X","enfant","300025945","paysage","300311843"
"1","12345/002386976","Venise X","personne","300024979","paysage","300311843"
"1","12345/002386976","Venise X","monument","300006958","paysage","300311843"
"3","12345/002381254","Vue panoramique en plongée sur le Lac Léman, Montreux et Clarens avec une terrasse au premier plan. On distingue de la végétation et des maisons en contrebas.","paysage","300008626","portrait","300343370"
