"art_UK","arkID","numInv","art_typeAAT","art_typeAAT_label","primaryName","titre","titreType_typeAAT","titreType_label","creator","owner_instit_identif","event_prod_text","event_prod_start","event_prod_end","dimensions_obj_statement","dimensions_obj_height","dimensions_obj_width","dimensions_obj_thick_min","dimensions_obj_thick_max","dimensions_pri_statement","dimensions_pri_slope","dimensions_pla_statement","dimensions_pla_height","dimensions_pla_width","dimensions_pla_thick"
"38","12345/001543457","9079","300133464","Lippmann process","Plaque Lippmann: Portrait de Gabriel Lippmann assis de face","Portrait de Gabriel Lippmann assis de face","300417205","constructed","Q108933616","Q675261","1905-1921","1905-01-01T00:00:00Z","1921-12-31T23:59:59Z","Dimensions: 90x95x20mm","90","95","4","20","Dimensions: 92x95x4-20mm","10","Dimensions: 90x95x2mm","90","95","2"
"37","12345/002386745","9089","300133464","Lippmann process","Plaque Lippmann: Spectre","Spectre","300417205","constructed","Q133232","Q675261","1891-1910","1891-01-01T00:00:00Z","1910-12-31T23:59:59Z","Dimensions: 68x90x19mm","68","90","7","19","Dimensions: 69x90x7-19mm","8","Dimensions: 68x90x2mm","68","90","2"
"36","12345/009358693","MEL_009986","300133464","Lippmann process","Plaque Lippmann: Mont Cervin","Mont Cervin","300417201","original","Q133232","Q675261","1891-1910","1891-01-01T00:00:00Z","1910-12-31T23:59:59Z","Dimensions: 85x85x18mm","85","85","4","18","Dimensions: 85x85x4-18mm","10","Dimensions: 85x85x2mm","85","85","2"
"35","12345/005347698","MEL_009084","300133464","Lippmann process","Plaque Lippmann: Perruche de Papouasie-Nouvelle-Guinée","Perruche de Papouasie-Nouvelle-Guinée","300417205","constructed","Q2150268","Q675261","1899","1899-01-01T00:00:00Z","1899-12-31T23:59:59Z","Dimensions: 84x65x20mm","84","65","8","20","Dimensions: 84x65x8-20mm","9","Dimensions: 84x65x5mm","84","65","5"
"32","15053/000000001","LIPP.0.8","300133464","Lippmann process","Plaque Lippmann: Hôtel ""À ma campagne""","Hôtel ""À ma campagne""","300417201","original","Q133232","Q41497113","Approx. 1900-1921","1900-01-01T00:00:00Z","1921-12-31T23:59:59Z","Dimensions: 95x65x17mm","95","65","4","17",,"9",,,,
"19","12345/001267886","MEL_009055","300133464","Lippmann process","Plaque Lippmann: Clarens","Clarens","300417201","original","Q133232","Q675261","Approx. 1900-1921","1900-01-01T00:00:00Z","1921-12-31T23:59:59Z","Dimensions: 88x89x19mm","88","89","4","19","Dimensions: 88x89x4-19mm","9","Dimensions: 90x90x2mm","90","90","2"
"19","12345/001267886","MEL_009055","300133464","Lippmann process","Plaque Lippmann: Clarens","Clarens","300417201","original","Q108933616","Q675261","Approx. 1900-1921","1900-01-01T00:00:00Z","1921-12-31T23:59:59Z","Dimensions: 88x89x19mm","88","89","4","19","Dimensions: 88x89x4-19mm","9","Dimensions: 90x90x2mm","90","90","2"
