"art_UK","arkID","numInv","art_typeAAT","art_typeAAT_label","primaryName","titre","titreType_typeAAT",titreType_label,"creator","owner_instit_identif","event_prod_text","event_prod_start","event_prod_end"
"1","12345/002386976","009999","300133464","Lippmann process","Plaque Lippmann: Venise, place San Marco","Venise","300417201",original,"Q133232","Q675261","1903","1903-01-01T00:00:00Z","1903-12-31T23:59:59Z"
"1","12345/002386976","009999","300133464","Lippmann process","Plaque Lippmann: Venise, place San Marco","Venise, place San Marco","300417205",constructed,"Q133232","Q675261","1903","1903-01-01T00:00:00Z","1903-12-31T23:59:59Z"
"1","12345/002386976","009999","300133464","Lippmann process","Plaque Lippmann: Venise, place San Marco","Venise","300417201",original,"Q108933616","Q675261","1903","1903-01-01T00:00:00Z","1903-12-31T23:59:59Z"
"1","12345/002386976","009999","300133464","Lippmann process","Plaque Lippmann: Venise, place San Marco","Venise, place San Marco","300417205",constructed,"Q108933616","Q675261","1903","1903-01-01T00:00:00Z","1903-12-31T23:59:59Z"
"2","12345/002381254","009982","300133464","Lippmann process","Plaque Lippmann: Terrasse de l'Hôtel Bellevue","Montreux","300417201",original,"Q133232","Q675261","1908-04","1908-04-01T00:00:00Z","1908-04-30T23:59:59Z"
"2","12345/002381254","009982","300133464","Lippmann process","Plaque Lippmann: Terrasse de l'Hôtel Bellevue","Terrasse de l'Hôtel Bellevue","300417205",constructed,"Q133232","Q675261","1908-04","1908-04-01T00:00:00Z","1908-04-30T23:59:59Z"
"3","12345/002389321","RB047060","300162056","black-and-white photography","René Burri: Jerusalem, Mur des Lamentations 1956","Jerusalem, Mur des Lamentations 1956","300417205",constructed,"Q671527","Q675261","1956","1956-01-01T00:00:00Z","1956-12-31T23:59:59Z"
"4","12345/002389315","RB047061","300134530","color photography","René Burri: sans titre","sans titre","300417205",constructed,"Q671527","Q675261","1970-08-15","1970-08-15T00:00:00Z","1970-08-15T23:59:59Z"
